     time             m1            m2            x1            y1            z1            x2            y2            z2           vx1           vy1           vz1           vx2           vy2           vz2    separation   semimajor_a  eccentricity    unbound_m          spin1         spin2       rstar95       rstar99        r_peri        v1_inf        v2_inf   orb._period
 0.29047D-01   1.000050       1.000050      0.977902       4.84513      0.200289E-12 -0.977902      -4.84513     -0.810728E-13 -0.488835      -1.90933      0.132807E-10  0.488835       1.90933     -0.381318E-11   9.88566     -0.132166       4.02651       0.00000      0.528730E-09  0.695257E-09  0.499433      0.644191      0.400000       1.94508       1.94508               NaN
 0.99960D+01  0.8723993      0.8728952     -0.330436      -12.5003     -0.141442E-02  0.329287       12.4969      0.699754E-03 -0.497297E-02  -1.62299     -0.145005E-03  0.485821E-02   1.62265      0.130641E-03   25.0059     -0.167903       3.64149      0.254806      0.137226E-01  0.138473E-01   1.96837       5.08424      0.443514       1.61220       1.61188               NaN
 0.20006D+02  0.8725524      0.8729054     -0.387561      -28.6865     -0.253121E-02  0.385869       28.6816      0.218240E-02 -0.616137E-02  -1.61376     -0.113871E-03  0.607634E-02   1.61354      0.152928E-03   57.3733     -0.168566       3.45530      0.254643      0.137512E-01  0.138578E-01   1.74070       7.94266      0.413880       1.60905       1.60883               NaN
 0.29992D+02  0.8725601      0.8728979     -0.451612      -44.7869     -0.359364E-02  0.448933       44.7801      0.371511E-02 -0.659476E-02  -1.61110     -0.104649E-03  0.650783E-02   1.61090      0.159740E-03   89.5715     -0.168766       3.33715      0.254643      0.137525E-01  0.138630E-01   1.72656       9.33312      0.394431       1.60808       1.60789               NaN
 0.39991D+02  0.8725601      0.8728873     -0.518800      -60.8891     -0.461323E-02  0.515241       60.8803      0.532439E-02 -0.682460E-02  -1.60981     -0.996722E-04  0.673868E-02   1.60962      0.165908E-03   121.774     -0.168866       3.24753      0.254653      0.137526E-01  0.138619E-01   1.71859       9.74393      0.379532       1.60760       1.60741               NaN
 0.49999D+02  0.8725805      0.8728877     -0.588088      -76.9966     -0.560971E-02  0.583451       76.9855      0.698618E-02 -0.697253E-02  -1.60906     -0.966469E-04  0.688371E-02   1.60887      0.167565E-03   153.987     -0.168929       3.17501      0.254632      0.137603E-01  0.138585E-01   1.71605       9.33903      0.367421       1.60731       1.60712               NaN
 0.59999D+02  0.8725805      0.8728877     -0.658347      -93.0854     -0.656358E-02  0.652840       93.0723      0.867897E-02 -0.707299E-02  -1.60855     -0.941715E-04  0.698745E-02   1.60837      0.170245E-03   186.162     -0.168970       3.11220      0.254632      0.137608E-01  0.138692E-01   1.72605       8.14410      0.356898       1.60711       1.60693               NaN
 0.70000D+02  0.8725805      0.8728880     -0.729467      -109.169     -0.749409E-02  0.723107       109.154      0.103839E-01 -0.714724E-02  -1.60819     -0.920045E-04  0.706238E-02   1.60801      0.170430E-03   218.328     -0.169000       3.05785      0.254632      0.137597E-01  0.138632E-01   1.72648       7.44323      0.347778       1.60696       1.60679               NaN
 0.79992D+02  0.8725809      0.8728880     -0.801182      -125.238     -0.839667E-02  0.793978       125.221      0.120960E-01 -0.720449E-02  -1.60792     -0.902282E-04  0.712049E-02   1.60775      0.172599E-03   250.464     -0.169023       3.00937      0.254632      0.137578E-01  0.138657E-01   1.72336       7.16902      0.339629       1.60685       1.60668               NaN
 0.90002D+02  0.8725809      0.8728876     -0.873538      -141.332     -0.929284E-02  0.865509       141.314      0.138422E-01 -0.725027E-02  -1.60771     -0.888294E-04  0.716839E-02   1.60754      0.175966E-03   282.652     -0.169041       2.96483      0.254632      0.137580E-01  0.138730E-01   1.72646       6.94456      0.332136       1.60677       1.60660               NaN
 0.99991D+02  0.8725812      0.8728876     -0.946146      -157.391     -0.101734E-01  0.937291       157.371      0.155930E-01 -0.728759E-02  -1.60755     -0.875842E-04  0.720403E-02   1.60737      0.175447E-03   314.767     -0.169056       2.92592      0.254632      0.137590E-01  0.138568E-01   1.73239       6.92458      0.325589       1.60670       1.60653               NaN
 0.11000D+03  0.8725812      0.8728876      -1.01927      -173.483     -0.110451E-01   1.00958       173.461      0.173649E-01 -0.731885E-02  -1.60741     -0.865650E-04  0.723653E-02   1.60724      0.177707E-03   346.951     -0.169068       2.88848      0.254632      0.137583E-01  0.138630E-01   1.72826       6.80114      0.319282       1.60664       1.60647               NaN
 0.12001D+03  0.8725813      0.8728876      -1.09262      -189.563     -0.119073E-01   1.08212       189.540      0.191356E-01 -0.734536E-02  -1.60729     -0.856435E-04  0.726547E-02   1.60712      0.177032E-03   379.109     -0.169078       2.85289      0.254632      0.137595E-01  0.138734E-01   1.72074       6.84339      0.313283       1.60659       1.60642               NaN
 0.13000D+03  0.8725812      0.8728876      -1.16616      -205.631     -0.127586E-01   1.15487       205.606      0.209117E-01 -0.736825E-02  -1.60719     -0.847906E-04  0.728727E-02   1.60703      0.178139E-03   411.243     -0.169087       2.82170      0.254632      0.137591E-01  0.138677E-01   1.72138       6.72831      0.308025       1.60655       1.60638               NaN
 0.14001D+03  0.8725810      0.8728875      -1.24000      -221.713     -0.136084E-01   1.22789       221.686      0.226936E-01 -0.738822E-02  -1.60711     -0.841320E-04  0.730683E-02   1.60694      0.178045E-03   443.406     -0.169094       2.79194      0.254632      0.137589E-01  0.138646E-01   1.72242       6.77878      0.303007       1.60651       1.60635               NaN
 0.14999D+03  0.8725810      0.8728875      -1.31382      -237.750     -0.144448E-01   1.30089       237.721      0.244716E-01 -0.740566E-02  -1.60704     -0.835052E-04  0.732470E-02   1.60687      0.178390E-03   475.478     -0.169100       2.76343      0.254632      0.137592E-01  0.138656E-01   1.72148       6.90126      0.298197       1.60648       1.60632               NaN
 0.16000D+03  0.8725810      0.8728875      -1.38807      -253.845     -0.152780E-01   1.37434       253.814      0.262612E-01 -0.742114E-02  -1.60697     -0.828866E-04  0.734077E-02   1.60681      0.178966E-03   507.667     -0.169106       2.73622      0.254632      0.137592E-01  0.138689E-01   1.73445       7.10505      0.293606       1.60645       1.60629               NaN
 0.17001D+03  0.8725810      0.8728843      -1.46235      -269.915     -0.161040E-01   1.44781       269.883      0.280242E-01 -0.743492E-02  -1.60691     -0.823099E-04  0.735481E-02   1.60675      0.178640E-03   539.807     -0.169111       2.71066      0.254635      0.137589E-01  0.138668E-01   1.73090       7.14563      0.289292       1.60643       1.60627               NaN
