     time             m1            m2            x1            y1            z1            x2            y2            z2           vx1           vy1           vz1           vx2           vy2           vz2    separation   semimajor_a  eccentricity    unbound_m          spin1         spin2       rstar95       rstar99        r_peri        v1_inf        v2_inf   orb._period
 0.10061D+01   1.000050       1.000050       2.18973       3.75376      0.462986E-09  -2.18973      -3.75376     -0.101334E-09 -0.429873     -0.507492      0.929337E-09  0.429873      0.507492     -0.245094E-09   8.69152      -1.52783       1.52362       0.00000      0.221861E-08  0.386301E-08  0.499459      0.644184      0.800000      0.572083      0.572083               NaN
 0.50122D+01   1.000050       1.000050      0.384300       1.54799      0.255559E-07 -0.384300      -1.54799     -0.117362E-07 -0.483008     -0.638358      0.163223E-07  0.483008      0.638358     -0.113072E-07   3.18995      -1.52774       1.52364       0.00000      0.520313E-06  0.514082E-06  0.499057      0.644903      0.799991      0.572099      0.572099               NaN
 0.89998D+01   1.002658      0.9852404      0.438468      -1.68943      0.296316E-05 -0.448354       1.70663     -0.305749E-04  0.424566     -0.556428      0.638367E-05 -0.430667      0.560886      0.115367E-04   3.50994      -2.34674       1.33601      0.122018E-01  0.273139E-01  0.201632E-01  0.618742       1.68048      0.788527      0.458447      0.461932               NaN
 0.13000D+02  0.9991502      0.9948520       2.02489      -3.60400     -0.593958E-04  -2.03260       3.61180      0.521380E-04  0.375422     -0.432877     -0.787673E-05 -0.376496      0.433616      0.808910E-05   8.27835      -2.38960       1.32874      0.609833E-02  0.253614E-01  0.237691E-01  0.605235       1.74980      0.785554      0.456334      0.457148               NaN
 0.16999D+02  0.9986708      0.9963588       3.48340      -5.26285     -0.942080E-04  -3.48948       5.26817      0.120163E-03  0.355647     -0.400411     -0.755400E-05 -0.356134      0.400737      0.109241E-04   12.6303      -2.39627       1.32766      0.507090E-02  0.251001E-01  0.242428E-01  0.600127       1.53699      0.785155      0.456020      0.456426               NaN
 0.21001D+02  0.9985006      0.9969625       4.88405      -6.83198     -0.132343E-03  -4.88946       6.83631      0.137980E-03  0.344990     -0.384911     -0.672423E-05 -0.345294      0.385097      0.101105E-04   16.8031      -2.39871       1.32726      0.463750E-02  0.250024E-01  0.243923E-01  0.600237       1.51165      0.784996      0.455909      0.456172               NaN
 0.25000D+02  0.9983948      0.9973141       6.25003      -8.35244     -0.172839E-03  -6.25469       8.35574      0.186310E-03  0.338271     -0.375719     -0.765269E-05 -0.338470      0.375831      0.892574E-05   20.8694      -2.39999       1.32703      0.439163E-02  0.249185E-01  0.244924E-01  0.599784       1.49735      0.784864      0.455860      0.456033               NaN
 0.29000D+02  0.9983686      0.9975218       7.59338      -9.84246     -0.204420E-03  -7.59778       9.84543      0.225915E-03  0.333601     -0.369575     -0.700943E-05 -0.333754      0.369659      0.936372E-05   24.8673      -2.40090       1.32684      0.421018E-02  0.249022E-01  0.245594E-01  0.599977       1.49756      0.784716      0.455811      0.455950               NaN
 0.33002D+02  0.9983375      0.9976997       8.92122      -11.3122     -0.205609E-03  -8.92505       11.3146      0.261378E-03  0.330163     -0.365168     -0.580097E-05 -0.330276      0.365228      0.821352E-05   28.8177      -2.40159       1.32667      0.406333E-02  0.248788E-01  0.246278E-01  0.599119       1.50125      0.784536      0.455780      0.455884               NaN
 0.36997D+02  0.9983000      0.9977990       10.2353      -12.7648     -0.197096E-03  -10.2386       12.7667      0.325188E-03  0.327526     -0.361856     -0.540765E-05 -0.327614      0.361896      0.917205E-05   32.7267      -2.40193       1.32659      0.400163E-02  0.248593E-01  0.246551E-01  0.597935       1.50193      0.784441      0.455768      0.455846               NaN
 0.40999D+02  0.9982896      0.9979000       11.5415      -14.2073     -0.227090E-03  -11.5445       14.2088      0.360449E-03  0.325424     -0.359255     -0.585608E-05 -0.325494      0.359283      0.868082E-05   36.6120      -2.40231       1.32646      0.391095E-02  0.248504E-01  0.246920E-01  0.598235       1.49873      0.784250      0.455751      0.455812               NaN
 0.45001D+02  0.9982860      0.9979688       12.8406      -15.6410     -0.245633E-03  -12.8434       15.6423      0.380699E-03  0.323712     -0.357159     -0.615912E-05 -0.323769      0.357181      0.803432E-05   40.4761      -2.40259       1.32638      0.384580E-02  0.248442E-01  0.247142E-01  0.597949       1.50300      0.784153      0.455737      0.455787               NaN
 0.48997D+02  0.9982797      0.9980221       14.1310      -17.0644     -0.259575E-03  -14.1335       17.0656      0.393895E-03  0.322292     -0.355438     -0.611872E-05 -0.322339      0.355455      0.754279E-05   44.3141      -2.40281       1.32632      0.379877E-02  0.248396E-01  0.247306E-01  0.597593       1.50471      0.784088      0.455726      0.455767               NaN
 0.52997D+02  0.9982783      0.9980602       15.4177      -18.4833     -0.279442E-03  -15.4202       18.4843      0.408237E-03  0.321090     -0.353993     -0.606513E-05 -0.321132      0.354006      0.733774E-05   48.1412      -2.40299       1.32627      0.376201E-02  0.248385E-01  0.247408E-01  0.598337       1.50399      0.784033      0.455716      0.455752               NaN
 0.57001D+02  0.9982610      0.9981016       16.7017      -19.8986     -0.314277E-03  -16.7038       19.8992      0.340633E-03  0.320063     -0.352765     -0.652938E-05 -0.320096      0.352773      0.584392E-05   51.9595      -2.40310       1.32623      0.373801E-02  0.248313E-01  0.247544E-01  0.596834       1.50182      0.783962      0.455712      0.455740               NaN
 0.61002D+02  0.9982468      0.9981324       17.9803      -21.3077     -0.349284E-03  -17.9821       21.3080      0.385169E-03  0.319173     -0.351710     -0.629715E-05 -0.319200      0.351713      0.606662E-05   55.7619      -2.40319       1.32618      0.372129E-02  0.248253E-01  0.247661E-01  0.596609       1.50779      0.783867      0.455709      0.455729               NaN
