     time             m1            m2            x1            y1            z1            x2            y2            z2           vx1           vy1           vz1           vx2           vy2           vz2    separation   semimajor_a  eccentricity    unbound_m          spin1         spin2       rstar95       rstar99        r_peri        v1_inf        v2_inf   orb._period
 0.69001D+02  0.9990127      0.9982865       12.7222      -5.74995     -0.238592E-03  -12.7254       5.74906     -0.848126E-04  0.140352     -0.292836E-01 -0.481485E-06 -0.140371      0.292743E-01 -0.485781E-05   27.9250       32.8436      0.976708      0.280127E-02  0.324698E-01  0.317719E-01  0.607684       1.50552      0.764990      0.444284E-04  0.444284E-04   836.823    
 0.73003D+02  0.9990058      0.9983084       13.2747      -5.86308     -0.238026E-03  -13.2781       5.86223     -0.109077E-03  0.135852     -0.272739E-01 -0.862765E-06 -0.135870      0.272649E-01 -0.495019E-05   29.0264       32.8436      0.976709      0.278638E-02  0.324615E-01  0.317874E-01  0.607911       1.50769      0.764970      0.409870E-04  0.409870E-04   836.822    
 0.77000D+02  0.9990053      0.9983173       13.8092      -5.96836     -0.222009E-03  -13.8127       5.96761     -0.130654E-03  0.131664     -0.254452E-01 -0.677403E-06 -0.131682      0.254373E-01 -0.528505E-05   30.0905       32.8430      0.976710      0.277791E-02  0.324706E-01  0.317971E-01  0.608827       1.51408      0.764919      0.385003E-04  0.385003E-04   836.796    
 0.81003D+02  0.9990030      0.9983278       14.3282      -6.06682     -0.225043E-03  -14.3318       6.06607     -0.149623E-03  0.127741     -0.237679E-01 -0.760126E-07 -0.127759      0.237612E-01 -0.547506E-05   31.1224       32.8431      0.976711      0.276978E-02  0.324840E-01  0.318073E-01  0.607620       1.52580      0.764875      0.362749E-04  0.362749E-04   836.799    
 0.85000D+02  0.9990014      0.9983363       14.8314      -6.15871     -0.234588E-03  -14.8351       6.15801     -0.161419E-03  0.124058     -0.222251E-01 -0.336437E-06 -0.124076      0.222185E-01 -0.502601E-05   32.1216       32.8429      0.976713      0.276290E-02  0.324866E-01  0.318153E-01  0.609526       1.53550      0.764829      0.342356E-04  0.342356E-04   836.791    
 0.89001D+02  0.9990034      0.9983411       15.3206      -6.24470     -0.236131E-03  -15.3245       6.24407     -0.167713E-03  0.120582     -0.207953E-01 -0.322508E-06 -0.120600      0.207894E-01 -0.509350E-05   33.0921       32.8424      0.976713      0.275600E-02  0.324799E-01  0.318202E-01  0.609625       1.53999      0.764811      0.324613E-04  0.324613E-04   836.769    
 0.93001D+02  0.9989995      0.9983501       15.7963      -6.32523     -0.240770E-03  -15.8002       6.32456     -0.198422E-03  0.117294     -0.194679E-01 -0.536765E-06 -0.117312      0.194622E-01 -0.512348E-05   34.0347       32.8425      0.976714      0.275095E-02  0.324871E-01  0.318306E-01  0.610472       1.55598      0.764774      0.310195E-04  0.310195E-04   836.773    
 0.96999D+02  0.9989992      0.9983543       16.2587      -6.40052     -0.222741E-03  -16.2629       6.39991     -0.237089E-03  0.114176     -0.182301E-01 -0.312111E-06 -0.114193      0.182250E-01 -0.517775E-05   34.9500       32.8423      0.976714      0.274703E-02  0.324808E-01  0.318322E-01  0.606817       1.55742      0.764752      0.294469E-04  0.294469E-04   836.765    
 0.10100D+03  0.9990084      0.9983498       16.7091      -6.47102     -0.223221E-03  -16.7137       6.47055     -0.254540E-03  0.111204     -0.170706E-01 -0.473629E-06 -0.111223      0.170665E-01 -0.520921E-05   35.8409       32.8416      0.976715      0.274239E-02  0.324836E-01  0.318298E-01  0.606603       1.57155      0.764706      0.280971E-04  0.280971E-04   836.737    
 0.10500D+03  0.9990103      0.9983535       17.1485      -6.53710     -0.225773E-03  -17.1533       6.53675     -0.285902E-03  0.108366     -0.159815E-01 -0.407198E-06 -0.108386      0.159778E-01 -0.527459E-05   36.7089       32.8412      0.976717      0.273682E-02  0.324913E-01  0.318343E-01  0.610448       1.57956      0.764644      0.266298E-04  0.266298E-04   836.720    
 0.10900D+03  0.9989895      0.9983782       17.5766      -6.59907     -0.257385E-03  -17.5809       6.59852     -0.288728E-03  0.105663     -0.149591E-01 -0.896201E-06 -0.105679      0.149546E-01 -0.476346E-05   37.5530       32.8430      0.976718      0.273288E-02  0.324808E-01  0.318527E-01  0.608627       1.59013      0.764639      0.254949E-04  0.254949E-04   836.788    
 0.11300D+03  0.9989903      0.9983794       17.9937      -6.65690     -0.249536E-03  -17.9981       6.65636     -0.326627E-03  0.103069     -0.139924E-01 -0.100303E-05 -0.103084      0.139884E-01 -0.479873E-05   38.3751       32.8432      0.976720      0.273085E-02  0.324910E-01  0.318560E-01  0.607860       1.58922      0.764605      0.251404E-04  0.251404E-04   836.793    
 0.11700D+03  0.9989905      0.9983809       18.4014      -6.71106     -0.254232E-03  -18.4059       6.71059     -0.352564E-03  0.100572     -0.130750E-01 -0.878392E-06 -0.100586      0.130719E-01 -0.497779E-05   39.1781       32.8431      0.976720      0.272918E-02  0.324923E-01  0.318600E-01  0.605929       1.59934      0.764596      0.241818E-04  0.241818E-04   836.792    
 0.12100D+03  0.9989902      0.9983837       18.7986      -6.76154     -0.254097E-03  -18.8032       6.76116     -0.363410E-03  0.981741E-01 -0.122072E-01 -0.101227E-05 -0.981890E-01  0.122046E-01 -0.478938E-05   39.9594       32.8431      0.976721      0.272666E-02  0.324998E-01  0.318652E-01  0.609089       1.61105      0.764557      0.231205E-04  0.231205E-04   836.789    
 0.12500D+03  0.9989953      0.9983815       19.1862      -6.80861     -0.238542E-03  -19.1911       6.80833     -0.396470E-03  0.958635E-01 -0.113824E-01 -0.853896E-06 -0.958792E-01  0.113802E-01 -0.477753E-05   40.7215       32.8429      0.976722      0.272371E-02  0.325065E-01  0.318670E-01  0.610336       1.61591      0.764512      0.222745E-04  0.222745E-04   836.782    
 0.12900D+03  0.9990009      0.9983787       19.5646      -6.85243     -0.218859E-03  -19.5699       6.85234     -0.454988E-03  0.936333E-01 -0.105964E-01 -0.604792E-06 -0.936503E-01  0.105949E-01 -0.506568E-05   41.4649       32.8427      0.976722      0.272099E-02  0.325166E-01  0.318682E-01  0.606370       1.62877      0.764497      0.212371E-04  0.212371E-04   836.772    
 0.13300D+03  0.9990038      0.9983759       19.9345      -6.89324     -0.222955E-03  -19.9401       6.89324     -0.491273E-03  0.914773E-01 -0.984679E-02 -0.654225E-06 -0.914945E-01  0.984568E-02 -0.523139E-05   42.1906       32.8424      0.976724      0.272085E-02  0.325307E-01  0.318684E-01  0.607245       1.62997      0.764447      0.207325E-04  0.207325E-04   836.761    
 0.13700D+03  0.9990040      0.9983782       20.2965      -6.93118     -0.237091E-03  -20.3022       6.93122     -0.504765E-03  0.893882E-01 -0.912904E-02 -0.643438E-06 -0.894051E-01  0.912844E-02 -0.523690E-05   42.9002       32.8423      0.976725      0.271835E-02  0.325387E-01  0.318705E-01  0.608146       1.64229      0.764415      0.200038E-04  0.200038E-04   836.759    
 0.14100D+03  0.9990061      0.9983785       20.6500      -6.96632     -0.226695E-03  -20.6559       6.96643     -0.534433E-03  0.873654E-01 -0.844320E-02 -0.575850E-06 -0.873830E-01  0.844268E-02 -0.523754E-05   43.5924       32.8425      0.976726      0.271593E-02  0.325499E-01  0.318749E-01  0.608619       1.64773      0.764383      0.191114E-04  0.191114E-04   836.766    
 0.14500D+03  0.9990054      0.9983814       20.9954      -6.99874     -0.224729E-03  -21.0014       6.99891     -0.574510E-03  0.854028E-01 -0.778531E-02 -0.659931E-06 -0.854207E-01  0.778504E-02 -0.515177E-05   44.2681       32.8424      0.976726      0.271379E-02  0.325447E-01  0.318795E-01  0.608662       1.65808      0.764367      0.181745E-04  0.181745E-04   836.761    
 0.14900D+03  0.9990080      0.9983828       21.3328      -7.02851     -0.264112E-03  -21.3391       7.02878     -0.619012E-03  0.834976E-01 -0.715434E-02 -0.729294E-06 -0.835154E-01  0.715406E-02 -0.536383E-05   44.9277       32.8423      0.976727      0.270984E-02  0.325594E-01  0.318849E-01  0.607657       1.66257      0.764333      0.176400E-04  0.176400E-04   836.755    
 0.15300D+03  0.9990112      0.9983810       21.6627      -7.05585     -0.261072E-03  -21.6692       7.05621     -0.632385E-03  0.816449E-01 -0.654742E-02 -0.728975E-06 -0.816633E-01  0.654709E-02 -0.504835E-05   45.5719       32.8422      0.976727      0.270835E-02  0.325520E-01  0.318842E-01  0.605918       1.67207      0.764351      0.169722E-04  0.169722E-04   836.753    
 0.15700D+03  0.9990169      0.9983782       21.9856      -7.08083     -0.284146E-03  -21.9925       7.08128     -0.658069E-03  0.798385E-01 -0.596275E-02 -0.828665E-06 -0.798573E-01  0.596233E-02 -0.519526E-05   46.2022       32.8420      0.976727      0.270544E-02  0.325586E-01  0.318834E-01  0.611631       1.68115      0.764332      0.165368E-04  0.165368E-04   836.745    
 0.16100D+03  0.9990204      0.9983770       22.3014      -7.10348     -0.289153E-03  -22.3086       7.10404     -0.684431E-03  0.780785E-01 -0.539977E-02 -0.833992E-06 -0.780975E-01  0.539941E-02 -0.513814E-05   46.8179       32.8418      0.976729      0.270309E-02  0.325729E-01  0.318851E-01  0.610446       1.69643      0.764274      0.160516E-04  0.160516E-04   836.737    
 0.16500D+03  0.9990265      0.9983734       22.6100      -7.12389     -0.268677E-03  -22.6176       7.12462     -0.717906E-03  0.763633E-01 -0.485672E-02 -0.853096E-06 -0.763827E-01  0.485621E-02 -0.512076E-05   47.4190       32.8417      0.976729      0.270067E-02  0.325802E-01  0.318814E-01  0.606967       1.70431      0.764262      0.156404E-04  0.156404E-04   836.729    
 0.16900D+03  0.9990311      0.9983678       22.9114      -7.14217     -0.286098E-03  -22.9194       7.14304     -0.736057E-03  0.746913E-01 -0.433277E-02 -0.786432E-06 -0.747110E-01  0.433274E-02 -0.504952E-05   48.0055       32.8415      0.976729      0.270163E-02  0.325839E-01  0.318772E-01  0.604978       1.71122      0.764249      0.152961E-04  0.152961E-04   836.725    
 0.17300D+03  0.9990291      0.9983692       23.2071      -7.15847     -0.319793E-03  -23.2153       7.15936     -0.730535E-03  0.730534E-01 -0.382519E-02 -0.999536E-06 -0.730730E-01  0.382563E-02 -0.484306E-05   48.5802       32.8415      0.976731      0.270233E-02  0.325859E-01  0.318787E-01  0.610336       1.71940      0.764203      0.146771E-04  0.146771E-04   836.722    
 0.17700D+03  0.9990334      0.9983680       23.4958      -7.17268     -0.306065E-03  -23.5044       7.17372     -0.751220E-03  0.714535E-01 -0.333490E-02 -0.983136E-06 -0.714736E-01  0.333521E-02 -0.490265E-05   49.1410       32.8411      0.976732      0.269913E-02  0.326022E-01  0.318820E-01  0.608458       1.72690      0.764158      0.140602E-04  0.140602E-04   836.709    
 0.18100D+03  0.9990401      0.9983646       23.7778      -7.18498     -0.295370E-03  -23.7869       7.18617     -0.770338E-03  0.698895E-01 -0.286046E-02 -0.911280E-06 -0.699100E-01  0.286075E-02 -0.483473E-05   49.6884       32.8409      0.976733      0.269586E-02  0.326074E-01  0.318820E-01  0.606226       1.72650      0.764121      0.137590E-04  0.137590E-04   836.700    
 0.18500D+03  0.9990474      0.9983602       24.0538      -7.19545     -0.291355E-03  -24.0633       7.19676     -0.785015E-03  0.683578E-01 -0.240031E-02 -0.781950E-06 -0.683790E-01  0.240070E-02 -0.473583E-05   50.2234       32.8408      0.976733      0.269297E-02  0.326123E-01  0.318786E-01  0.610219       1.74296      0.764102      0.132477E-04  0.132477E-04   836.695    
 0.18900D+03  0.9990494      0.9983601       24.3242      -7.20412     -0.293928E-03  -24.3340       7.20549     -0.782453E-03  0.668550E-01 -0.195299E-02 -0.802766E-06 -0.668759E-01  0.195361E-02 -0.464212E-05   50.7470       32.8408      0.976733      0.269103E-02  0.326095E-01  0.318791E-01  0.606824       1.74692      0.764092      0.128951E-04  0.128951E-04   836.693    
