     time             m1            m2            x1            y1            z1            x2            y2            z2           vx1           vy1           vz1           vx2           vy2           vz2    separation   semimajor_a  eccentricity    unbound_m          spin1         spin2       rstar95       rstar99        r_peri        v1_inf        v2_inf   orb._period
 0.29037D-01   1.000050       1.000050       2.21017       4.46075      0.295024E-12  -2.21017      -4.46075     -0.103614E-12 -0.426872     -0.624101      0.265231E-10  0.426872      0.624101      0.107681E-11   9.95652      -1.06099       1.75401       0.00000      0.703884E-09  0.861368E-09  0.499434      0.644191      0.800000      0.686498      0.686498               NaN
 0.20094D+01   1.000050       1.000050       1.35417       3.20228      0.217068E-08  -1.35417      -3.20228     -0.424606E-09 -0.438777     -0.650055      0.273130E-08  0.438777      0.650055     -0.640207E-09   6.95367      -1.06099       1.75401       0.00000      0.698866E-08  0.428839E-08  0.499464      0.644178      0.800000      0.686499      0.686499               NaN
 0.39888D+01   1.000050       1.000050      0.465317       1.86047      0.138474E-07 -0.465317      -1.86047     -0.520388E-08 -0.462161     -0.720019      0.101913E-07  0.462161      0.720019     -0.590399E-08   3.83555      -1.06097       1.75402       0.00000      0.149798E-06  0.148123E-06  0.499262      0.644747      0.799996      0.686505      0.686505               NaN
 0.60000D+01  0.9970129      0.6040543     -0.403904      0.495081E-01 -0.643707E-05  0.394605     -0.398096E-01 -0.213250E-03 -0.812290E-01  -1.28087     -0.314411E-04  0.495989E-01   1.30110      0.439681E-04  0.803489     -0.593343       2.35061      0.399033      0.445985E-02  0.488379E-03  0.477239      0.624844      0.801376      0.898039      0.775432               NaN
 0.79992D+01   1.000384      0.9859061      0.314781      -1.73377     -0.243124E-04 -0.320874       1.74764      0.256490E-04  0.413232     -0.684722     -0.143522E-04 -0.418256      0.689208      0.149744E-05   3.53896      -1.36371       1.58382      0.138103E-01  0.230773E-01  0.173395E-01  0.594177       1.54834      0.796163      0.601508      0.605362               NaN
 0.99996D+01  0.9985593      0.9927940       1.11789      -3.00674     -0.728578E-04  -1.12477       3.01647      0.228381E-04  0.390594     -0.601009     -0.175550E-04 -0.392406      0.602513      0.423521E-05   6.42718      -1.38107       1.57461      0.874734E-02  0.220768E-01  0.197667E-01  0.605947       1.69757      0.793575      0.599565      0.601222               NaN
 0.11999D+02  0.9980712      0.9946531       1.88562      -4.17495     -0.104362E-03  -1.89182       4.18260      0.631216E-04  0.377791     -0.569692     -0.170447E-04 -0.378754      0.570505      0.771771E-05   9.17157      -1.38589       1.57207      0.737630E-02  0.217865E-01  0.204698E-01  0.596183       1.67033      0.792832      0.599074      0.600037               NaN
 0.13999D+02  0.9979102      0.9955488       2.63289      -5.29658     -0.165722E-03  -2.63855       5.30316      0.503614E-04  0.369905     -0.553013     -0.169784E-04 -0.370530      0.553559      0.420665E-05   11.8382      -1.38824       1.57081      0.664148E-02  0.216588E-01  0.207804E-01  0.593312       1.57286      0.792429      0.598823      0.599492               NaN
 0.16000D+02  0.9977793      0.9960866       3.36784      -6.39278     -0.187897E-03  -3.37278       6.39828      0.726209E-04  0.364582     -0.542586     -0.168522E-04 -0.365006      0.542965      0.585556E-05   14.4585      -1.38954       1.57015      0.623458E-02  0.215575E-01  0.209582E-01  0.591040       1.50128      0.792251      0.598702      0.599176               NaN
 0.18001D+02  0.9977134      0.9964362       4.09350      -7.47124     -0.246767E-03  -4.09788       7.47602      0.818486E-04  0.360730     -0.535412     -0.181734E-04 -0.361039      0.535696      0.775832E-05   17.0446      -1.39039       1.56966      0.595096E-02  0.215066E-01  0.210646E-01  0.591381       1.47822      0.792046      0.598618      0.598977               NaN
