     time             m1            m2            x1            y1            z1            x2            y2            z2           vx1           vy1           vz1           vx2           vy2           vz2    separation   semimajor_a  eccentricity    unbound_m          spin1         spin2       rstar95       rstar99        r_peri        v1_inf        v2_inf   orb._period
 0.48000D+02  0.9817506       0.000000       5.36930      -6.65425     -0.648711E-03   0.00000       0.00000       0.00000      0.684536E-01 -0.339051E-01  0.197791E-06   0.00000       0.00000       0.00000       8.55034       0.00000      -1.00000       1.01835      0.594350E-01   0.00000       1.20541       5.45024       0.00000      0.763901E-01  0.763901E-01   0.00000    
 0.51000D+02  0.9819601       0.000000       5.56180      -6.74056     -0.571353E-03   0.00000       0.00000       0.00000      0.623467E-01 -0.264545E-01 -0.183157E-05   0.00000       0.00000       0.00000       8.73892       0.00000      -1.00000       1.01814      0.597526E-01   0.00000       1.21424       5.62158       0.00000      0.677271E-01  0.677271E-01   0.00000    
 0.54001D+02  0.9820685       0.000000       5.73783      -6.80555     -0.573892E-03   0.00000       0.00000       0.00000      0.564028E-01 -0.193484E-01 -0.208308E-05   0.00000       0.00000       0.00000       8.90158       0.00000      -1.00000       1.01803      0.600114E-01   0.00000       1.22396       5.73101       0.00000      0.596292E-01  0.596292E-01   0.00000    
 0.56999D+02  0.9821780       0.000000       5.89533      -6.84985     -0.822869E-03   0.00000       0.00000       0.00000      0.506122E-01 -0.125757E-01 -0.465486E-05   0.00000       0.00000       0.00000       9.03744       0.00000      -1.00000       1.01792      0.602587E-01   0.00000       1.22833       5.83896       0.00000      0.521512E-01  0.521512E-01   0.00000    
 0.59992D+02  0.9824810       0.000000       6.03323      -6.86973     -0.711482E-03   0.00000       0.00000       0.00000      0.448812E-01 -0.603121E-02  0.240143E-05   0.00000       0.00000       0.00000       9.14293       0.00000      -1.00000       1.01762      0.612148E-01   0.00000       1.23468       6.12340       0.00000      0.452846E-01  0.452846E-01   0.00000    
 0.62999D+02  0.9826673       0.000000       6.15634      -6.87345     -0.926061E-03   0.00000       0.00000       0.00000      0.392274E-01  0.318715E-03  0.153187E-05   0.00000       0.00000       0.00000       9.22740       0.00000      -1.00000       1.01743      0.616132E-01   0.00000       1.24354       6.30761       0.00000      0.392287E-01  0.392287E-01   0.00000    
 0.65998D+02  0.9827871       0.000000       6.26275      -6.85827     -0.943363E-03   0.00000       0.00000       0.00000      0.336099E-01  0.650861E-02  0.491083E-05   0.00000       0.00000       0.00000       9.28751       0.00000      -1.00000       1.01731      0.620101E-01   0.00000       1.25342       6.44541       0.00000      0.342343E-01  0.342343E-01   0.00000    
 0.69005D+02  0.9828238       0.000000       6.35384      -6.82627     -0.549516E-03   0.00000       0.00000       0.00000      0.279928E-01  0.125723E-01  0.547358E-05   0.00000       0.00000       0.00000       9.32573       0.00000      -1.00000       1.01728      0.626320E-01   0.00000       1.26523       6.54286       0.00000      0.306865E-01  0.306865E-01   0.00000    
 0.72008D+02  0.9829569       0.000000       6.42654      -6.77457     -0.463977E-03   0.00000       0.00000       0.00000      0.223670E-01  0.185348E-01  0.113459E-04   0.00000       0.00000       0.00000       9.33784       0.00000      -1.00000       1.01714      0.633185E-01   0.00000       1.27073       6.74229       0.00000      0.290486E-01  0.290486E-01   0.00000    
 0.74995D+02  0.9831188       0.000000       6.48166      -6.70488     -0.588010E-03   0.00000       0.00000       0.00000      0.167335E-01  0.244272E-01  0.106762E-04   0.00000       0.00000       0.00000       9.32562       0.00000      -1.00000       1.01698      0.635172E-01   0.00000       1.27433       6.97206       0.00000      0.296091E-01  0.296091E-01   0.00000    
 0.77993D+02  0.9831581       0.000000       6.52187      -6.61993     -0.689945E-03   0.00000       0.00000       0.00000      0.110028E-01  0.302968E-01  0.108587E-04   0.00000       0.00000       0.00000       9.29291       0.00000      -1.00000       1.01694      0.637339E-01   0.00000       1.27493       7.06819       0.00000      0.322328E-01  0.322328E-01   0.00000    
 0.81009D+02  0.9831941       0.000000       6.54422      -6.51578     -0.519938E-03   0.00000       0.00000       0.00000      0.512959E-02  0.361963E-01  0.117976E-04   0.00000       0.00000       0.00000       9.23484       0.00000      -1.00000       1.01691      0.639226E-01   0.00000       1.28204       7.13381       0.00000      0.365580E-01  0.365580E-01   0.00000    
 0.83996D+02  0.9833478       0.000000       6.54865      -6.39446     -0.549066E-03   0.00000       0.00000       0.00000     -0.805211E-03  0.420782E-01  0.114385E-04   0.00000       0.00000       0.00000       9.15282       0.00000      -1.00000       1.01675      0.637076E-01   0.00000       1.28309       7.39878       0.00000      0.420859E-01  0.420859E-01   0.00000    
 0.87000D+02  0.9834125       0.000000       6.53629      -6.25553     -0.559188E-03   0.00000       0.00000       0.00000     -0.696149E-02  0.480612E-01  0.113692E-04   0.00000       0.00000       0.00000       9.04736       0.00000      -1.00000       1.01669      0.635481E-01   0.00000       1.29718       7.52542       0.00000      0.485628E-01  0.485628E-01   0.00000    
