     time             m1            m2            x1            y1            z1            x2            y2            z2           vx1           vy1           vz1           vx2           vy2           vz2    separation   semimajor_a  eccentricity    unbound_m          spin1         spin2       rstar95       rstar99        r_peri        v1_inf        v2_inf   orb._period
 0.29053D-01   1.000050       1.000050      0.244119       4.93695      0.167196E-12 -0.244119      -4.93695     -0.435410E-13 -0.278254      -1.95117      0.722854E-11  0.278254       1.95117     -0.671398E-11   9.88597     -0.132166       7.05302       0.00000      0.833557E-09  0.818533E-09  0.499433      0.644191      0.800000       1.94508       1.94508               NaN
 0.10064D+01   1.000050       1.000050     -0.280434E-01   3.02329      0.265356E-09  0.280434E-01  -3.02329     -0.192873E-09 -0.278582      -1.96751      0.793384E-09  0.278582       1.96751     -0.534797E-09   6.04684     -0.132165       7.05302       0.00000      0.787628E-08  0.689634E-08  0.499507      0.644369      0.799999       1.94508       1.94508               NaN
 0.20064D+01   1.000050      0.9992581     -0.304430       1.03004      0.397355E-08  0.304431      -1.03004      0.109912E-06 -0.267143      -2.04394      0.138124E-07  0.267143       2.04394     -0.258963E-07   2.14817     -0.132100       7.05610      0.792144E-03  0.224605E-05  0.271366E-05  0.498968      0.644779      0.800008       1.94519       1.94516               NaN
 0.29999D+01  0.9919163      0.9865552     -0.336597      -1.07282     -0.172073E-04  0.337589       1.07249     -0.375377E-04  0.202261      -2.01761     -0.229341E-04 -0.202150       2.01822     -0.505451E-04   2.24875     -0.134665       7.02371      0.216291E-01  0.548006E-02  0.523816E-02  0.552284      0.776754      0.811181       1.91650       1.91649               NaN
 0.40000D+01  0.9907540      0.9907446     -0.123274      -3.04344     -0.196710E-04  0.123298       3.04353     -0.322856E-04  0.216093      -1.94503     -0.195488E-04 -0.216084       1.94508     -0.172908E-04   6.09196     -0.135079       7.01048      0.186020E-01  0.535394E-02  0.534284E-02  0.571452       1.23656      0.811891       1.91499       1.91504               NaN
 0.50005D+01  0.9906216      0.9906061      0.932876E-01  -4.97973     -0.523026E-04 -0.932853E-01   4.97990     -0.363281E-04  0.216330      -1.92826     -0.240240E-04 -0.216336       1.92832     -0.126344E-04   9.96138     -0.135121       7.00954      0.188728E-01  0.536143E-02  0.534115E-02  0.585965       1.35653      0.812017       1.91456       1.91462               NaN
 0.60002D+01  0.9905761      0.9905962      0.309477      -6.90343     -0.694575E-04 -0.309495       6.90368     -0.593185E-04  0.216080      -1.92082     -0.192200E-04 -0.216079       1.92089     -0.157668E-04   13.8210     -0.135152       7.00750      0.189283E-01  0.536715E-02  0.534171E-02  0.559225       1.29438      0.811927       1.91431       1.91437               NaN
 0.70011D+01  0.9905789      0.9905934      0.525608      -8.82376     -0.111885E-03 -0.525642       8.82406     -0.863600E-04  0.215823      -1.91662     -0.255233E-04 -0.215833       1.91668     -0.152810E-04   17.6791     -0.135174       7.00517      0.189282E-01  0.536530E-02  0.534475E-02  0.564610       1.20083      0.811744       1.91416       1.91422               NaN
 0.80006D+01  0.9905795      0.9905870      0.741191      -10.7380     -0.144154E-03 -0.741257       10.7384     -0.104813E-03  0.215624      -1.91393     -0.283967E-04 -0.215638       1.91399     -0.152239E-04   21.5275     -0.135188       7.00333      0.189341E-01  0.536254E-02  0.534201E-02  0.563618       1.20040      0.811577       1.91406       1.91412               NaN
 0.90008D+01  0.9905828      0.9905830      0.956773      -12.6513     -0.163490E-03 -0.956869       12.6517     -0.114874E-03  0.215472      -1.91205     -0.262309E-04 -0.215487       1.91211     -0.142032E-04   25.3753     -0.135198       7.00158      0.189348E-01  0.536229E-02  0.534089E-02  0.562677       1.18832      0.811402       1.91399       1.91404               NaN
 0.10002D+02  0.9905832      0.9905863       1.17246      -14.5651     -0.189960E-03  -1.17255       14.5655     -0.124562E-03  0.215350      -1.91067     -0.266824E-04 -0.215363       1.91072     -0.136136E-04   29.2248     -0.135206       7.00003      0.189310E-01  0.536276E-02  0.534061E-02  0.563193       1.18374      0.811242       1.91393       1.91399               NaN
