"epoch","MoE_0129_92hk0cay - class_train_loss","MoE_0129_92hk0cay - class_train_loss__MIN","MoE_0129_92hk0cay - class_train_loss__MAX","MoE_0129_92hk0cay - _step","MoE_0129_92hk0cay - _step__MIN","MoE_0129_92hk0cay - _step__MAX","MoE_0129_92hk0cay - reg_train_loss","MoE_0129_92hk0cay - reg_train_loss__MIN","MoE_0129_92hk0cay - reg_train_loss__MAX","MoE_0129_92hk0cay - train_loss","MoE_0129_92hk0cay - train_loss__MIN","MoE_0129_92hk0cay - train_loss__MAX"
"0","0.297697514295578","0.297697514295578","0.297697514295578","0","0","0","0.04651900380849838","0.04651900380849838","0.04651900380849838","1.7222974271878486","1.7222974271878486","1.7222974271878486"
"1","0.28012028336524963","0.28012028336524963","0.28012028336524963","1","1","1","0.05146872252225876","0.05146872252225876","0.05146872252225876","1.4935852054270782","1.4935852054270782","1.4935852054270782"
"2","0.2443002611398697","0.2443002611398697","0.2443002611398697","2","2","2","0.045492127537727356","0.045492127537727356","0.045492127537727356","1.4181271034573752","1.4181271034573752","1.4181271034573752"
"3","0.1943102777004242","0.1943102777004242","0.1943102777004242","3","3","3","0.05466493219137192","0.05466493219137192","0.05466493219137192","1.3708916443496655","1.3708916443496655","1.3708916443496655"
"4","0.1814218908548355","0.1814218908548355","0.1814218908548355","4","4","4","0.03261955827474594","0.03261955827474594","0.03261955827474594","1.3182940584338834","1.3182940584338834","1.3182940584338834"
"5","0.18041378259658813","0.18041378259658813","0.18041378259658813","5","5","5","0.02513613924384117","0.02513613924384117","0.02513613924384117","1.279304276026787","1.279304276026787","1.279304276026787"
"6","0.12520518898963928","0.12520518898963928","0.12520518898963928","6","6","6","0.025408465415239334","0.025408465415239334","0.025408465415239334","1.2305319008692543","1.2305319008692543","1.2305319008692543"
"7","0.1321430653333664","0.1321430653333664","0.1321430653333664","7","7","7","0.023484423756599426","0.023484423756599426","0.023484423756599426","1.2081310332030322","1.2081310332030322","1.2081310332030322"
"8","0.1556970179080963","0.1556970179080963","0.1556970179080963","8","8","8","0.06635008007287979","0.06635008007287979","0.06635008007287979","1.1604327218258805","1.1604327218258805","1.1604327218258805"
"9","0.21964171528816223","0.21964171528816223","0.21964171528816223","9","9","9","0.030480090528726578","0.030480090528726578","0.030480090528726578","1.1203275998826618","1.1203275998826618","1.1203275998826618"
"10","0.15931721031665802","0.15931721031665802","0.15931721031665802","10","10","10","0.025875695049762726","0.025875695049762726","0.025875695049762726","1.0786555670531994","1.0786555670531994","1.0786555670531994"
"11","0.10628741979598999","0.10628741979598999","0.10628741979598999","11","11","11","0.02772700786590576","0.02772700786590576","0.02772700786590576","1.0556197993363627","1.0556197993363627","1.0556197993363627"
"12","0.10500633716583252","0.10500633716583252","0.10500633716583252","12","12","12","0.024939648807048798","0.024939648807048798","0.024939648807048798","1.0301170263602988","1.0301170263602988","1.0301170263602988"
