"epoch","MoE_0129_92hk0cay - awl_param_class","MoE_0129_92hk0cay - awl_param_class__MIN","MoE_0129_92hk0cay - awl_param_class__MAX","MoE_0129_92hk0cay - _step","MoE_0129_92hk0cay - _step__MIN","MoE_0129_92hk0cay - _step__MAX","MoE_0129_92hk0cay - awl_param_reg","MoE_0129_92hk0cay - awl_param_reg__MIN","MoE_0129_92hk0cay - awl_param_reg__MAX"
"30","0.5012670755386353","0.5012670755386353","0.5012670755386353","30","30","30","0.4333072602748871","0.4333072602748871","0.4333072602748871"
"31","0.49499523639678955","0.49499523639678955","0.49499523639678955","31","31","31","0.41945526003837585","0.41945526003837585","0.41945526003837585"
"32","0.4909931719303131","0.4909931719303131","0.4909931719303131","32","32","32","0.40642404556274414","0.40642404556274414","0.40642404556274414"
"33","0.4845549166202545","0.4845549166202545","0.4845549166202545","33","33","33","0.39334964752197266","0.39334964752197266","0.39334964752197266"
"34","0.4773656129837036","0.4773656129837036","0.4773656129837036","34","34","34","0.3808087408542633","0.3808087408542633","0.3808087408542633"
"35","0.47204598784446716","0.47204598784446716","0.47204598784446716","35","35","35","0.3692225217819214","0.3692225217819214","0.3692225217819214"
"36","0.46898412704467773","0.46898412704467773","0.46898412704467773","36","36","36","0.3588006794452667","0.3588006794452667","0.3588006794452667"
"37","0.4647969901561737","0.4647969901561737","0.4647969901561737","37","37","37","0.3488878309726715","0.3488878309726715","0.3488878309726715"
"38","0.46113109588623047","0.46113109588623047","0.46113109588623047","38","38","38","0.34005144238471985","0.34005144238471985","0.34005144238471985"
"39","0.4600136876106262","0.4600136876106262","0.4600136876106262","39","39","39","0.33418533205986023","0.33418533205986023","0.33418533205986023"
"40","0.4546481668949127","0.4546481668949127","0.4546481668949127","40","40","40","0.3263750970363617","0.3263750970363617","0.3263750970363617"
"41","0.45638272166252136","0.45638272166252136","0.45638272166252136","41","41","41","0.32291993498802185","0.32291993498802185","0.32291993498802185"
"42","0.4521848261356354","0.4521848261356354","0.4521848261356354","42","42","42","0.31661298871040344","0.31661298871040344","0.31661298871040344"
"43","0.4503287076950073","0.4503287076950073","0.4503287076950073","43","43","43","0.313520610332489","0.313520610332489","0.313520610332489"
"44","0.44644197821617126","0.44644197821617126","0.44644197821617126","44","44","44","0.3094272017478943","0.3094272017478943","0.3094272017478943"
"45","0.44231733679771423","0.44231733679771423","0.44231733679771423","45","45","45","0.306027352809906","0.306027352809906","0.306027352809906"
"46","0.44359448552131653","0.44359448552131653","0.44359448552131653","46","46","46","0.30625277757644653","0.30625277757644653","0.30625277757644653"
"47","0.43938887119293213","0.43938887119293213","0.43938887119293213","47","47","47","0.3038070499897003","0.3038070499897003","0.3038070499897003"
"48","0.43717116117477417","0.43717116117477417","0.43717116117477417","48","48","48","0.30176812410354614","0.30176812410354614","0.30176812410354614"
"49","0.4333544075489044","0.4333544075489044","0.4333544075489044","49","49","49","0.29961785674095154","0.29961785674095154","0.29961785674095154"
"50","0.4311773180961609","0.4311773180961609","0.4311773180961609","50","50","50","0.3005105257034302","0.3005105257034302","0.3005105257034302"
"51","0.43197140097618103","0.43197140097618103","0.43197140097618103","51","51","51","0.30056628584861755","0.30056628584861755","0.30056628584861755"
"52","0.42595723271369934","0.42595723271369934","0.42595723271369934","52","52","52","0.2942279279232025","0.2942279279232025","0.2942279279232025"
"53","0.4231531322002411","0.4231531322002411","0.4231531322002411","53","53","53","0.29276251792907715","0.29276251792907715","0.29276251792907715"
"54","0.42213210463523865","0.42213210463523865","0.42213210463523865","54","54","54","0.2921833097934723","0.2921833097934723","0.2921833097934723"
"55","0.4280470013618469","0.4280470013618469","0.4280470013618469","55","55","55","0.3005659282207489","0.3005659282207489","0.3005659282207489"
"56","0.42383116483688354","0.42383116483688354","0.42383116483688354","56","56","56","0.29564169049263","0.29564169049263","0.29564169049263"
"57","0.4203646183013916","0.4203646183013916","0.4203646183013916","57","57","57","0.29298463463783264","0.29298463463783264","0.29298463463783264"
"58","0.4189085364341736","0.4189085364341736","0.4189085364341736","58","58","58","0.292795330286026","0.292795330286026","0.292795330286026"
"59","0.4179876446723938","0.4179876446723938","0.4179876446723938","59","59","59","0.29241037368774414","0.29241037368774414","0.29241037368774414"
"60","0.4167648255825043","0.4167648255825043","0.4167648255825043","60","60","60","0.29183265566825867","0.29183265566825867","0.29183265566825867"
"61","0.41503211855888367","0.41503211855888367","0.41503211855888367","61","61","61","0.29051122069358826","0.29051122069358826","0.29051122069358826"
"62","0.41367024183273315","0.41367024183273315","0.41367024183273315","62","62","62","0.2890688478946686","0.2890688478946686","0.2890688478946686"
"63","0.4129495322704315","0.4129495322704315","0.4129495322704315","63","63","63","0.2898942232131958","0.2898942232131958","0.2898942232131958"
"64","0.4125349521636963","0.4125349521636963","0.4125349521636963","64","64","64","0.28989270329475403","0.28989270329475403","0.28989270329475403"
"65","0.4101334512233734","0.4101334512233734","0.4101334512233734","65","65","65","0.2872515022754669","0.2872515022754669","0.2872515022754669"
"66","0.4100694954395294","0.4100694954395294","0.4100694954395294","66","66","66","0.28817713260650635","0.28817713260650635","0.28817713260650635"
"67","0.41121646761894226","0.41121646761894226","0.41121646761894226","67","67","67","0.2887597680091858","0.2887597680091858","0.2887597680091858"
"68","0.409965455532074","0.409965455532074","0.409965455532074","68","68","68","0.28619980812072754","0.28619980812072754","0.28619980812072754"
