model_name,balanced_accuracy,medae1,medae2
MoE_model_0128_x5ljz7t3.pt,0.9732347432879179,0.024350039535522505,0.009566341992467642
MoE_model_0128_kdrub61t.pt,0.9825475781358977,0.020747144191741285,0.008049734324455327
MoE_model_0128_u4mk563g.pt,0.8837961929467062,0.12476572721290585,0.0765921708196402
MoE_model_0128_u71kn980.pt,0.9789602424792275,0.016177787746429084,0.011440538078159035
MoE_model_0128_xajro5ll.pt,0.9773870990890068,0.024438971270561327,0.012915300205349919
MoE_model_0128_elydejx1.pt,0.9803035609066143,0.012442242612838994,2.302672919540782e-05
MoE_model_0128_c4yudouc.pt,0.9781185076131615,0.02473318395042412,0.015438015572726725
MoE_model_0128_ctbkazw3.pt,0.9806397441014753,0.010990908632278362,3.8538654489883575e-09
MoE_model_0128_pdjx2d0z.pt,0.982372552251326,0.010713464128494277,1.084105133486446e-05
MoE_model_0128_6bhpxzm0.pt,0.9774267346241299,0.013255287563323837,1.1691911140587761e-05
MoE_model_0128_m1klkwwj.pt,0.9820264315780621,0.01166467432022289,3.072107990220729e-07
MoE_model_0128_2u9egl48.pt,0.9816979550118727,0.011795656814575284,2.112962681621866e-05
MoE_model_0128_cszw1d6r.pt,0.9748855971128092,0.027825694625854602,0.01648581027984619
MoE_model_0128_49g5a03a.pt,0.9778905754735667,0.02876566153240223,0.013397867092862725
MoE_model_0128_9bser8kt.pt,0.9778341022153576,0.020297475921630392,0.0134414093390256
MoE_model_0128_fzwtkdkf.pt,0.9785102180716712,0.011390392457961918,1.0832801876858863e-05
MoE_model_0128_kys6h9fd.pt,0.9729866242312254,0.029822375774383403,0.013611862933158914
MoE_model_0128_0hafdaxk.pt,0.9653741380230608,0.03995705437469432,0.02662782091647386
MoE_model_0128_2kha7rqg.pt,0.9758697427903245,0.02377879047393794,0.012782574960105098
MoE_model_0128_qig0luer.pt,0.9789469717593275,0.019138732608795173,0.011976677960157445
MoE_model_0128_19s4s9e7.pt,0.9779247091635491,0.02382692062377889,0.015053428480148456
MoE_model_0128_oa7wqpds.pt,0.9793958677089176,0.017479697914123626,0.012385243643075226
MoE_model_0128_u25bdd7g.pt,0.9744588851683593,0.020313013580322448,0.009058292037196457
MoE_model_0128_9r198bxz.pt,0.9731513746109015,0.02761879515266419,0.017781957518309355
MoE_model_0128_gkqqito7.pt,0.9823523392680276,0.01605506658554079,0.0117479241753779
MoE_model_0128_4oc0huri.pt,0.9778935084424838,0.017303074258804507,0.00899183257389069
MoE_model_0128_sx117vcc.pt,0.9791040937089346,0.018558268167495673,0.014032390690408646
MoE_model_0128_apaxlit2.pt,0.9795819334636577,0.023233275234222528,0.010461736191809165
MoE_model_0128_8z1w502u.pt,0.9756381654489413,0.02307325532913196,0.008944159804709306
MoE_model_0128_xjq1vti7.pt,0.9758282926305646,0.01640634659576312,0.010777169356346206
MoE_model_0128_9611c7bp.pt,0.9744186929634512,0.028695995058059198,0.013443636342495678
MoE_model_0128_ksk2wcu1.pt,0.9780679104064723,0.02312288120651229,0.011497308872222889
MoE_model_0128_9j2w4pnc.pt,0.9735911394660773,0.025276843261718973,0.012122549704104646
MoE_model_0128_0d45uc3f.pt,0.9779222706183295,0.02929089268493712,0.011720845825038849
MoE_model_0128_peubyx8p.pt,0.9828027799006787,0.015905755088806595,0.0077347158221527925
MoE_model_0128_qlkwch02.pt,0.9839214212313652,0.01829876969146671,0.01108368532732129
MoE_model_0128_c87pkhmw.pt,0.9723094581155483,0.020091993362426674,0.012029420351609588
MoE_model_0128_hmz9rk1u.pt,0.9720817858038433,0.03781277764546864,0.015447339729309006
MoE_model_0128_9dra9g9v.pt,0.9839820601812608,0.019444920110702757,0.008810238157376693
MoE_model_0128_ro1sunu6.pt,0.9796428843738447,0.01732751530710619,0.012190060438156167
MoE_model_0128_65bty1q1.pt,0.9707853933151565,0.031541784965515074,0.014873201376758512
MoE_model_0128_y6rpxwio.pt,0.9771444818774552,0.018576242664336995,0.014619181724265184
MoE_model_0128_00q0wbdc.pt,0.9677111233812712,0.032737987064361374,0.014722496851414413
MoE_model_0128_ym6ucd3z.pt,0.9776895648189802,0.015709015815734917,0.008008516626432536
MoE_model_0128_4uibv2ye.pt,0.9789619948577767,0.019251270057678238,0.009010825643781584
MoE_model_0128_ylxgu50b.pt,0.9705589797924219,0.02407042618560784,0.011232297244518963
MoE_model_0128_ir07xh4y.pt,0.9759776818852992,0.019483445850372427,0.009330586299344894
MoE_model_0128_vwucbyii.pt,0.9773826634557445,0.019269023866653523,0.010028846284419302
MoE_model_0128_0l660xdn.pt,0.9769862575360828,0.02699495460128798,0.01289304940511285
MoE_model_0128_ybb1ljgt.pt,0.9742378170935606,0.025625372127533907,0.010826072543904192
MoE_model_0128_y1m6vhdk.pt,0.9821343706730368,0.016798469797134508,0.010264978860504925
MoE_model_0128_s7f7j9oa.pt,0.9754255944342881,0.02631151663207998,0.011106717159270918
MoE_model_0128_2g91svov.pt,0.970126235399247,0.028588035615920937,0.01189075622844693
MoE_model_0128_wc6q7xhh.pt,0.979571309818584,0.022900897979734935,0.01362023310502991
MoE_model_0128_foohj40l.pt,0.9757247109702497,0.033132777860641505,0.011221507050782458
MoE_model_0128_fp0ee9ra.pt,0.9728269594715954,0.022569704053878814,0.01137179816254974
MoE_model_0128_dq5erxcz.pt,0.9340000373101172,0.04945987655639428,0.02072448399849236
MoE_model_0128_ot7jmdtn.pt,0.9743641125284813,0.027279272792816056,0.011322600883431733
MoE_model_0128_taetjrvu.pt,0.9731968601313438,0.03172810116767866,0.015136211248278686
MoE_model_0128_bvcu1n3w.pt,0.9739956522869906,0.026732713808059305,0.01383091136837003
MoE_model_0128_iq7exnm7.pt,0.9789657443243684,0.015339207962036139,0.009687854787103878
MoE_model_0128_vbgo4spt.pt,0.9737859621088526,0.02890232440185536,0.012587358531951864
MoE_model_0128_ao14mh3q.pt,0.9806497076460793,0.01883675149029429,0.011733106613874455
MoE_model_0128_6vkwt3rb.pt,0.9768288236261843,0.019369259319305332,0.010530953831039368
MoE_model_0128_jad3ok5c.pt,0.9759162525039297,0.032451597994565984,0.01453663781285286
MoE_model_0128_9o7cb2yu.pt,0.9789237997409111,0.03419843627166752,0.015301389447212214
MoE_model_0128_54jc4yxs.pt,0.8953285309090049,0.12114642199897763,0.10387861785507202
MoE_model_0128_6r0x2ur0.pt,0.9758609077036867,0.02985630578613252,0.01446828804910183
MoE_model_0128_om5b2oj4.pt,0.9250950737566299,0.10115632083058317,0.0812742430716753
MoE_model_0128_96h8tbia.pt,0.9758018134368521,0.02476507461357122,0.011373692424967885
MoE_model_0128_4w24hpnx.pt,0.9726702117283674,0.026651830997467152,0.01242364407517016
MoE_model_0128_rf5zwjve.pt,0.9761515793119045,0.02879971605682352,0.011659943041324637
MoE_model_0128_tfhukl1j.pt,0.968561927095664,0.02709247016745797,0.012258477951399983
MoE_model_0128_6y0ok12c.pt,0.9768515374007901,0.025688189599990863,0.01124524591766285
MoE_model_0128_or9q5zt5.pt,0.9729637641731006,0.028956388774633406,0.01192910717725755
MoE_model_0128_3t6ux7c2.pt,0.9202941778458764,0.13314482902526859,0.05618997802913189
MoE_model_0128_2yrx994o.pt,0.9687664534551532,0.029238151151657066,0.01158509214210511
MoE_model_0128_n341w245.pt,0.9690094086931973,0.02843124712562564,0.01145250373519957
MoE_model_0128_4g6n49n9.pt,0.9727123900735136,0.03030294501495323,0.012403650995753746
MoE_model_0128_8pom2ijb.pt,0.9773232311624175,0.019667468160629475,0.009796024765819311
MoE_model_0128_24eme1go.pt,0.9718359757954849,0.028684309761047355,0.012982066409856108
MoE_model_0128_1i1hke52.pt,0.9739167612619521,0.023981569049835255,0.010540718212723732
MoE_model_0128_i4my1lve.pt,0.9740113253722236,0.0355285238952634,0.013500524451956153
MoE_model_0128_rnlpp3no.pt,0.9702768313105503,0.0263864773101804,0.010519056554794404
MoE_model_0128_sdf06hug.pt,0.9730878548244906,0.031787774303436045,0.017007469277862453
MoE_model_0128_xc6w08jg.pt,0.9730169823884152,0.02868977581024168,0.01208096498157829
MoE_model_0128_3zrsle1h.pt,0.9750658650146318,0.030440777793884377,0.013067377964034675
MoE_model_0128_6yf2t2sp.pt,0.9782543923863072,0.02758768033981296,0.01254151657830177
MoE_model_0128_hn607u13.pt,0.8346682649084718,0.1657369647674558,0.12303173498025538
MoE_model_0128_gpftsapa.pt,0.9754150069691012,0.0253290297489166,0.01199895203122496
MoE_model_0128_d8cyqvgt.pt,0.979057479730526,0.029251348476409644,0.011843549480021087
MoE_model_0128_v3zg7eh4.pt,0.9746797707797522,0.024657571315765237,0.01057815832138069
MoE_model_0128_4bwtcxwm.pt,0.9706221876185412,0.026885501525878874,0.010596351305056428
MoE_model_0128_blqv8oak.pt,0.9756095336040999,0.017936000924572426,0.009187596162796074
MoE_model_0128_5qucvp3e.pt,0.9713102893395836,0.034452685592651244,0.014237593567132917
MoE_model_0128_9n1x7kb5.pt,0.9710827734250838,0.026418367063522297,0.01156679419422138
MoE_model_0128_u2ssf5l4.pt,0.9778205195351661,0.021628401004793074,0.012056903022959808
MoE_model_0128_8fr4x52k.pt,0.9725677744785336,0.02801283994102488,0.012207088584546
MoE_model_0128_kzzi93jg.pt,0.9754842985422287,0.02995973734092683,0.013600134523585437
MoE_model_0128_35mxf6ee.pt,0.9781020180302539,0.021023906600952103,0.009925001068040729
MoE_model_0128_5psan8eo.pt,0.9813502896555477,0.024037057670593942,0.009900077537167817
MoE_model_0128_ruqeni0e.pt,0.9747685891695077,0.02255155447387658,0.01371506319846958
MoE_model_0128_yzd3ux15.pt,0.9784849455345275,0.021911155665293336,0.00883590161434189
MoE_model_0128_n01t0knz.pt,0.9787840360042882,0.020806552295684788,0.009475980360575065
MoE_model_0128_apf2blke.pt,0.9762496069946769,0.029501188720702953,0.012612385793209668
MoE_model_0128_89icwgjf.pt,0.9772971681937999,0.02616049326515235,0.010244298332415497
MoE_model_0128_dhwlvlth.pt,0.9753959224437688,0.029800190921604575,0.01162095286457987
MoE_model_0128_9tulr01v.pt,0.9745770997682295,0.019754136330142558,0.015485119690418214
MoE_model_0128_gxax1d9n.pt,0.977279159994032,0.020532228849411027,0.012003368257522573
MoE_model_0128_go76ffhy.pt,0.9746052531418885,0.02398192934417742,0.011287732653647686
MoE_model_0128_a15xnzbs.pt,0.9759993352868555,0.0250547214660648,0.011212469787597712
MoE_model_0128_cio3kk1n.pt,0.9744136855420076,0.024421754730224787,0.009625172708183527
MoE_model_0128_hehl3rw6.pt,0.9812321793204809,0.01717378119826307,0.010176802532032347
MoE_model_0128_h5bkmur3.pt,0.9788471134994035,0.01858944597244294,0.010754283912658535
MoE_model_0128_wbr0hsgu.pt,0.9759412391469828,0.026744584968566798,0.011594204790890216
MoE_model_0128_gfabrg6h.pt,0.9726478721601406,0.028890228343963487,0.011980641935952007
MoE_model_0128_j5x2log7.pt,0.9756137245278688,0.022382028444289936,0.011202107765711844
MoE_model_0128_bmhlwep9.pt,0.9774487622320652,0.019016218748092673,0.010098313301792353
MoE_model_0128_078um173.pt,0.9748545006565472,0.01920290185356155,0.009341079837799096
MoE_model_0128_5e43yz0o.pt,0.9717276986740178,0.026653969596862837,0.01183382561430335
MoE_model_0128_vhoba1or.pt,0.9748251406263193,0.023768209314141475,0.010716471727937493
MoE_model_0128_780rqf0k.pt,0.9796042730318845,0.025335998569487206,0.010186686454772942
MoE_model_0128_ol3em97u.pt,0.9756193928839005,0.034527775413513706,0.01331600302658976
MoE_model_0128_kpsqb9hc.pt,0.9627906304236205,0.034482182382583715,0.01461758674122393
MoE_model_0128_9mpp0n1f.pt,0.9829726940990033,0.01542803633117662,0.007384216692298606
MoE_model_0128_t8m74pqs.pt,0.9614071719237273,0.04145641828155511,0.01664770487695938
MoE_model_0128_aoupxzpe.pt,0.9771822607692259,0.029064199892044118,0.011383188505172726
MoE_model_0128_25ndst39.pt,0.9760058352589583,0.027101681869506677,0.010267089176170557
MoE_model_0128_v0plqyb9.pt,0.9815749247335324,0.018627857507705903,0.014807321459770165
MoE_model_0128_g6lltvq7.pt,0.9811806874175146,0.021924752939224246,0.00907169420242282
MoE_model_0128_u9kizxsn.pt,0.974202554945612,0.02099163713073704,0.010087272243805234
MoE_model_0128_cnvsric5.pt,0.9794285609806423,0.01790543327522287,8.573459422223093e-05
MoE_model_0128_cte8h2u7.pt,0.9807862003872929,0.017691088951111045,0.012478058275490865
MoE_model_0128_vuu7a8y4.pt,0.9744921241620644,0.023694840873718093,0.011310887639410794
MoE_model_0128_63e7rysa.pt,0.9779475431554732,0.014267391098022664,1.1914222795894599e-05
MoE_model_0128_i5p5dzy5.pt,0.9779512144234623,0.01553477959695826,0.008191836048126122
MoE_model_0129_vjj2zaob.pt,0.9787062213048143,0.01757303619384487,0.008725249767303461
MoE_model_0129_j15lhcy3.pt,0.9708787255367768,0.0277852125396727,0.01321178628131747
MoE_model_0129_h1ppoynv.pt,0.9775375284894191,0.011600860008239733,8.157282085363702e-07
MoE_model_0129_4h8ar74n.pt,0.9802202704282005,0.013271832893371638,4.368069426163855e-06
MoE_model_0129_6nwm3bci.pt,0.9777776289571486,0.009291918333053317,1.8118234947905872e-06
MoE_model_0129_gpxiabm9.pt,0.979749721077054,0.016836087085723872,0.008059570449404417
MoE_model_0129_s36mz2am.pt,0.9683259503009053,0.025843883113860766,0.01035313683510572
MoE_model_0129_ur7h8v8m.pt,0.9748834444616801,0.01569242561340367,0.008625892316922568
MoE_model_0129_v64evzju.pt,0.9736135572329065,0.012466101207731839,0.0002774029858301218
MoE_model_0129_xbru202k.pt,0.9765890973648339,0.022587336505889954,0.01013601417653261
